Nome,Valore
Demotivato,1
Disinteressato,0.8
Passivo,1
Indifferente,1
Inattivo,1
Riluttante,1
Scarso impegno,1
Poco coinvolto,0.9
Frustrato,0.8
Resistente,0.4
Moderatamente motivato,0.3
Regolare,0.3
Coinvolto,0.3
Partecipativo,0.3
Attento,0.3
Disciplinato,0.4
Motivazione costante,0.3
Collaborativo,0.3
Responsabile,0.3
Interessato,0
Altamente motivato,0
Proattivo,0
Determinato,0
Impegnato,0
Orientato agli obiettivi,0
Entusiasta,0
Iniziativa propria,0
Perseverante,0
Focalizzato,0
Eccellente impegno,0
