Nome,Valore
Demotivato,0.2
Disinteressato,0.2
Passivo,0.2
Indifferente,0.3
Inattivo,0.2
Riluttante,0.2
Scarso impegno,0.2
Poco coinvolto,0.2
Frustrato,0.2
Resistente,1
Moderatamente motivato,0.8
Regolare,1
Coinvolto,1
Partecipativo,0.8
Attento,1
Disciplinato,1
Motivazione costante,0.9
Collaborativo,1
Responsabile,1
Interessato,0.2
Altamente motivato,0.3
Proattivo,0.2
Determinato,0.2
Impegnato,0.2
Orientato agli obiettivi,0.3
Entusiasta,0.2
Iniziativa propria,0.2
Perseverante,0.2
Focalizzato,0.2
Eccellente impegno,0.2
