Nome;Valore
2-faced;0.01
2-faces;0.1
abnormal;0.03
abolish;0.23
abominable;0.22
abominably;0.05
abominate;0.24
abomination;0.43
abort;0.4
aborted;0.02
aborts;0.01
abrade;0.17
worthless;0.17
abrasive;0.1
abrupt;0.33
abruptly;0
abscond;0.14
absence;0.24
absent-minded;0.36
absentee;0.18
absurd;0.45
absurdity;0.12
absurdly;0.01
absurdness;0.33
abuse;0.23
abused;0.27
abuses;0.2
abusive;0.12
abysmal;0.09
abysmally;0.15
abyss;0.11
accidental;0.46
accost;0.29
accursed;0.44
accusation;0.15
accusations;0.03
accuse;0.29
accuses;0.28
accusing;0.34
accusingly;0.04
acerbate;0.42
acerbic;0.39
acerbically;0.19
ache;0.03
ached;0.18
aches;0.44
achey;0.03
aching;0.42
acrid;0.21
acridly;0.48
acridness;0.11
acrimonious;0.47
acrimoniously;0.48
acrimony;0.34
adamant;0.04
adamantly;0.23
addict;0.05
addicted;0.47
addicting;0.19
addicts;0.44
admonish;0.05
admonisher;0.19
admonishingly;0.39
admonishment;0
admonition;0.23
adulterate;0.43
adulterated;0.32
adulteration;0.16
adulterier;0.24
adversarial;0.3
adversary;0.33
adverse;0.1
adversity;0.08
afflict;0.18
affliction;0.22
afflictive;0.07
affront;0.29
afraid;0.33
aggravate;0.29
aggravating;0.42
aggravation;0
aggression;0.09
aggressive;0.11
aggressiveness;0.36
aggressor;0.39
aggrieve;0.25
aggrieved;0.49
aggrivation;0.23
aghast;0.27
agonies;0.24
agonize;0.46
agonizing;0.49
agonizingly;0.34
agony;0.16
aground;0.41
ail;0.36
ailing;0.29
ailment;0.03
aimless;0.1
alarm;0.29
alarmed;0
alarming;0.08
alarmingly;0.34
alienate;0.18
alienated;0.03
alienation;0.21
allegation;0.09
allegations;0.22
allege;0.17
allergic;0.21
allergies;0.05
allergy;0.04
aloof;0.26
altercation;0.29
ambiguity;0.15
ambiguous;0.34
ambivalence;0.08
ambivalent;0.49
ambush;0.23
amiss;0.14
amputate;0.03
anarchism;0.44
anarchist;0.17
anarchistic;0.45
anarchy;0.48
anemic;0.39
anger;0.07
angrily;0.33
angriness;0.29
angry;0.32
anguish;0.32
animosity;0.43
annihilate;0.06
annihilation;0.28
annoy;0.3
annoyance;0.38
annoyances;0.03
annoyed;0.26
annoying;0.46
annoyingly;0.22
annoys;0.34
anomalous;0.36
anomaly;0.07
antagonism;0.08
antagonist;0.1
antagonistic;0.07
antagonize;0.47
anti-;0.32
anti-american;0
anti-israeli;0.11
anti-occupation;0.46
anti-proliferation;0.33
anti-semites;0.06
anti-social;0.21
anti-us;0.41
anti-white;0.14
antipathy;0.33
antiquated;0.4
antithetical;0.49
anxieties;0.34
anxiety;0.39
anxious;0.44
anxiously;0.25
anxiousness;0.14
apathetic;0.19
apathetically;0.12
apathy;0.07
apocalypse;0.32
