Nome,Valore
avanti,0
procedere,0
proseguire,0
fare progressi,0
marciare,0
progredire,0
farsi strada,0
puntare in avanti,0
nord,0
nord-est,0
nord-ovest,0
avanti e su,0.6
avanti e giù,0
avanti a destra,0
avanti a sinistra,0
indietro,0
retrocedere,0
tornare,0
marcia indietro,0
arretrare,0
ritirarsi,0
volgere indietro,0
fare passo indietro,0
sud,0
sud-est,0
sud-ovest,0
indietro e su,0.6
indietro e giù,0
indietro a destra,0
indietro a sinistra,0
destra,0
deviare a destra,0
piegare a destra,0
sterzare a destra,0
spostarsi a destra,0
est,0
sud-est,0
nord-est,0
a destra e avanti,0
a destra e indietro,0
a destra e su,0.6
a destra e giù,0
inclinarsi a destra,0
curvare a destra,0
muoversi lateralmente a destra,0
sinistra,0
deviare a sinistra,0
piegare a sinistra,0
sterzare a sinistra,0
spostarsi a sinistra,0
ovest,0
sud-ovest,0
nord-ovest,0
a sinistra e avanti,0
a sinistra e indietro,0
a sinistra e su,0.6
a sinistra e giù,0
inclinarsi a sinistra,0
curvare a sinistra,0
muoversi lateralmente a sinistra,0
su,1
salire,0.8
ascendere,0.9
innalzarsi,0.8
sollevarsi,0.8
crescere,0.8
elevarsi,1
montare,0.8
su e avanti,0.6
su e indietro,0.6
su a destra,0.6
su a sinistra,0.6
giù,0
scendere,0
discendere,0
abbassarsi,0
calare,0
degradare,0
affondare,0
ridursi,0
giù e avanti,0
giù e indietro,0
giù a destra,0
giù a sinistra,0
