Nome;Valore
2-faced;0.82
2-faces;0.73
abnormal;0.6
abolish;0.88
abominable;0.73
abominably;0.83
abominate;0.84
abomination;0.81
abort;0.87
aborted;0.76
aborts;0.69
abrade;0.65
worthless;0.74
abrasive;0.99
abrupt;0.98
abruptly;0.77
abscond;0.95
absence;0.89
absent-minded;0.71
absentee;0.72
absurd;0.93
absurdity;0.89
absurdly;0.83
absurdness;0.63
abuse;0.76
abused;0.64
abuses;0.7
abusive;0.8
abysmal;0.84
abysmally;0.88
abyss;0.67
accidental;0.82
accost;0.63
accursed;0.73
accusation;0.83
accusations;0.83
accuse;0.88
accuses;1
accusing;0.78
accusingly;0.64
acerbate;0.8
acerbic;0.64
acerbically;0.64
ache;0.64
ached;0.79
aches;0.92
achey;0.86
aching;0.96
acrid;0.65
acridly;0.71
acridness;0.64
acrimonious;0.83
acrimoniously;0.68
acrimony;0.61
adamant;0.77
adamantly;0.86
addict;0.94
addicted;0.84
addicting;0.71
addicts;0.72
admonish;0.8
admonisher;0.9
admonishingly;0.62
admonishment;0.83
admonition;0.64
adulterate;0.93
adulterated;0.89
adulteration;0.75
adulterier;0.97
adversarial;0.67
adversary;0.9
adverse;0.63
adversity;0.8
afflict;0.68
affliction;0.83
afflictive;0.98
affront;0.69
afraid;0.74
aggravate;0.96
aggravating;0.93
aggravation;0.94
aggression;0.8
aggressive;0.74
aggressiveness;0.85
aggressor;0.76
aggrieve;0.65
aggrieved;0.89
aggrivation;0.96
aghast;0.62
agonies;0.9
agonize;0.81
agonizing;0.84
agonizingly;0.75
agony;0.79
aground;0.94
ail;0.88
ailing;0.85
ailment;0.87
aimless;0.8
alarm;0.84
alarmed;0.87
alarming;0.64
alarmingly;0.9
alienate;0.79
alienated;0.83
alienation;0.71
allegation;0.62
allegations;0.71
allege;0.8
allergic;0.89
allergies;0.98
allergy;0.82
aloof;0.97
altercation;0.86
ambiguity;0.67
ambiguous;0.91
ambivalence;0.66
ambivalent;0.62
ambush;0.68
amiss;0.63
amputate;0.9
anarchism;0.88
anarchist;0.62
anarchistic;0.69
anarchy;0.86
anemic;0.81
anger;0.92
angrily;0.97
angriness;0.75
angry;0.99
anguish;0.68
animosity;0.94
annihilate;0.72
annihilation;0.83
annoy;0.96
annoyance;0.83
annoyances;0.62
annoyed;0.9
annoying;0.95
annoyingly;0.77
annoys;0.75
anomalous;0.79
anomaly;0.73
antagonism;0.6
antagonist;0.76
antagonistic;0.63
antagonize;0.71
anti-;0.97
anti-american;0.67
anti-israeli;0.76
anti-occupation;0.61
anti-proliferation;0.92
anti-semites;0.96
anti-social;0.61
anti-us;0.99
anti-white;0.65
antipathy;0.66
antiquated;0.96
antithetical;0.72
anxieties;0.79
anxiety;0.69
anxious;0.98
anxiously;0.99
anxiousness;0.85
apathetic;0.94
apathetically;0.65
apathy;0.65
apocalypse;0.85
apocalyptic;0.61
apologist;0.65
apologists;0.62
appal;0.89
appall;0.82
appalled;0.79
appalling;0.68
appallingly;0.97
apprehension;0.96
apprehensions;0.82
apprehensive;0.69
apprehensively;0.6
arbitrary;0.91
arcane;0.7
archaic;0.62
arduous;0.64
arduously;0.93
argumentative;0.82
arrogance;0.72
arrogant;0.86
arrogantly;0.94
ashamed;0.81
asinine;0.76
asininely;0.66
asinininity;0.87
askance;0.87
asperse;0.67
aspersion;0.91
aspersions;0.82
assail;0.9
assassin;0.81
assassinate;0.99
assault;0.79
assult;0.8
astray;0.64
asunder;0.65
atrocious;0.68
atrocities;0.76
atrocity;0.72
atrophy;0.65
attack;0.79
attacks;0.88
audacious;0.85
audaciously;0.7
audaciousness;0.76
audacity;0.78
audiciously;0.78
