Nome;Valore
2-faced;0.03
2-faces;0.18
abnormal;0.17
abolish;0.19
abominable;0.17
abominably;0.02
abominate;0.15
abomination;0.11
abort;0.02
aborted;0.12
aborts;0.02
abrade;0.15
worthless;0.05
abrasive;0.13
abrupt;0.12
abruptly;0
abscond;0.09
absence;0.1
absent-minded;0.05
absentee;0.19
absurd;0.2
absurdity;0.05
absurdly;0.11
absurdness;0.03
abuse;0.08
abused;0.06
abuses;0.01
abusive;0.19
abysmal;0.08
abysmally;0.03
abyss;0.15
accidental;0.19
accost;0.06
accursed;0.06
accusation;0.05
accusations;0
accuse;0.05
accuses;0.09
accusing;0.09
accusingly;0.15
acerbate;0.01
acerbic;0.14
acerbically;0.16
ache;0.18
ached;0.02
aches;0.04
achey;0.16
aching;0.11
acrid;0.09
acridly;0.14
acridness;0
acrimonious;0.06
acrimoniously;0.06
acrimony;0.17
adamant;0.09
adamantly;0.12
addict;0.14
addicted;0.17
addicting;0.16
addicts;0.01
admonish;0.14
admonisher;0.07
admonishingly;0.16
admonishment;0.06
admonition;0.19
adulterate;0.12
adulterated;0.17
adulteration;0.1
adulterier;0.03
adversarial;0.2
adversary;0.16
adverse;0.01
adversity;0
afflict;0.09
affliction;0.18
afflictive;0.03
affront;0.18
afraid;0.1
aggravate;0.01
aggravating;0.19
aggravation;0.08
aggression;0.13
aggressive;0.15
aggressiveness;0.04
aggressor;0.1
aggrieve;0.07
aggrieved;0.09
aggrivation;0.16
aghast;0.11
agonies;0.09
agonize;0.06
agonizing;0.13
agonizingly;0.11
agony;0.19
aground;0.06
ail;0.17
ailing;0.12
ailment;0.04
aimless;0.08
alarm;0.18
alarmed;0.03
alarming;0.09
alarmingly;0.08
alienate;0.16
alienated;0.15
alienation;0.05
allegation;0.07
allegations;0.06
allege;0.1
allergic;0.14
allergies;0.08
allergy;0.13
aloof;0.08
altercation;0.11
ambiguity;0.17
ambiguous;0.04
ambivalence;0.07
ambivalent;0.02
ambush;0.06
amiss;0.13
amputate;0.05
anarchism;0.16
anarchist;0.05
anarchistic;0.19
anarchy;0.2
anemic;0.16
anger;0.14
angrily;0.16
angriness;0.07
angry;0.08
anguish;0.13
animosity;0.07
annihilate;0.05
annihilation;0.11
annoy;0.05
annoyance;0.06
annoyances;0.08
annoyed;0.06
annoying;0.15
annoyingly;0.11
annoys;0.1
anomalous;0.05
anomaly;0.09
antagonism;0.03
antagonist;0.05
antagonistic;0.05
antagonize;0.16
anti-;0.1
anti-american;0.14
anti-israeli;0.11
anti-occupation;0.12
anti-proliferation;0.05
anti-semites;0.12
anti-social;0.15
anti-us;0.11
anti-white;0.19
antipathy;0
antiquated;0.15
antithetical;0.13
anxieties;0.18
anxiety;0.14
anxious;0.03
anxiously;0.08
anxiousness;0.15
apathetic;0.02
apathetically;0.01
apathy;0.1
apocalypse;0.01
apocalyptic;0.01
apologist;0.15
apologists;0.19
appal;0.16
appall;0.11
appalled;0.16
appalling;0
appallingly;0.13
apprehension;0.2
apprehensions;0.03
apprehensive;0.11
apprehensively;0.08
arbitrary;0.11
arcane;0.03
archaic;0.08
arduous;0.12
arduously;0.04
argumentative;0.16
arrogance;0.03
arrogant;0.01
arrogantly;0.2
ashamed;0.19
asinine;0.18
asininely;0.12
asinininity;0.17
askance;0.07
asperse;0.07
aspersion;0.01
aspersions;0.03
assail;0.01
assassin;0.04
assassinate;0.14
assault;0.06
assult;0.19
astray;0.19
asunder;0.09
atrocious;0.09
atrocities;0.18
atrocity;0.1
atrophy;0.04
attack;0.07
attacks;0.04
audacious;0.13
audaciously;0.19
audaciousness;0.12
audacity;0.05
audiciously;0.14
austere;0.02
authoritarian;0.18
autocrat;0.19
autocratic;0.16
avalanche;0.16
avarice;0.2
avaricious;0.11
avariciously;0
avenge;0.14
averse;0.06
aversion;0.04
aweful;0.03
awful;0.04
awfully;0
awfulness;0.19
awkward;0.13
awkwardness;0.17
ax;0.12
babble;0.09
back-logged;0.09
back-wood;0.15
back-woods;0.11
backache;0.2
backaches;0.11
backaching;0.12
backbite;0.19
backbiting;0.13
backward;0.19
backwardness;0.01
backwood;0.08
backwoods;0.06
bad;0.02
badly;0.13
baffle;0.01
baffled;0.19
bafflement;0.09
baffling;0.01
bait;0.06
balk;0.07
banal;0.08
banalize;0.19
bane;0.02
banish;0.09
banishment;0.06
bankrupt;0.05
barbarian;0.12
barbaric;0.19
barbarically;0.16
barbarity;0.08
barbarous;0.13
barbarously;0.15
barren;0.17
baseless;0.06
bash;0.17
bashed;0.01
bashful;0.13
bashing;0.11
bastard;0.2
bastards;0.18
battered;0.1
battering;0.16
batty;0.17
bearish;0.16
beastly;0.04
bedlam;0.16
bedlamite;0.11
befoul;0.02
beg;0.2
beggar;0.15
beggarly;0.16
begging;0.01
beguile;0.02
belabor;0.12
belated;0.16
beleaguer;0.08
belie;0.14
belittle;0.03
belittled;0.18
belittling;0.17
bellicose;0.12
belligerence;0.14
belligerent;0.13
belligerently;0.03
bemoan;0.03
bemoaning;0.1
bemused;0.04
bent;0.1
berate;0.14
bereave;0.08
bereavement;0.2
bereft;0.09
berserk;0.15
beseech;0.02
beset;0.09
besiege;0.05
besmirch;0.08
bestial;0.06
betray;0.03
betrayal;0.17
betrayals;0.11
betrayer;0.03
betraying;0.12
betrays;0.07
bewail;0.05
beware;0.18
bewilder;0.06
bewildered;0.16
bewildering;0.17
bewilderingly;0.18
bewilderment;0.17
bewitch;0.11
bias;0.16
biased;0.09
biases;0.08
bicker;0.19
bickering;0.19
bid-rigging;0.11
bigotries;0.07
bigotry;0.15
bitch;0.08
bitchy;0.19
biting;0.12
bitingly;0
bitter;0.11
bitterly;0.02
bitterness;0.2
bizarre;0.05
blab;0.14
blabber;0.1
blackmail;0.1
blah;0.11
blame;0.01
blameworthy;0.05
bland;0.05
blandish;0.03
blaspheme;0.02
blasphemous;0.01
blasphemy;0.06
blasted;0.11
blatant;0.08
blatantly;0.08
blather;0.02
bleak;0.19
bleakly;0.03
bleakness;0.09
bleed;0.02
bleeding;0.13
bleeds;0.01
blemish;0.05
blind;0.03
